Date,Temp_Avg
2009-09-05,18.1
2009-09-12,16.75
2009-10-03,10.65
2009-10-17,3.65
2009-10-24,7.15
2009-11-07,13.45
2009-11-21,8.2
2010-09-04,13.55
2010-09-18,16.0
2010-09-25,12.5
2010-10-02,9.3
2010-10-16,8.9
2010-11-06,0.2
2010-11-20,2.05
2011-09-02,27.95
2011-09-10,21.25
2011-09-24,12.55
2011-10-15,9.6
2011-10-22,7.45
2011-11-05,5.95
2011-11-19,7.95
2012-08-31,26.9
2012-09-15,14.05
2012-09-22,10.9
2012-09-29,13.85
2012-10-13,9.0
2012-11-03,1.2
2012-11-17,4.0
2013-08-30,25.65
2013-09-07,21.35
2013-09-14,11.9
2013-10-12,17.8
2013-10-19,7.1
2013-11-02,5.15
2013-11-30,2.3
2014-08-29,20.4
2014-09-20,19.35
2014-09-27,16.6
2014-10-04,6.9
2014-10-25,13.0
2014-11-08,4.05
2014-11-22,1.55
2015-09-12,12.25
2015-09-19,16.45
2015-09-26,18.5
2015-10-03,8.35
2015-10-24,15.65
2015-11-14,4.7
2015-11-28,-1.3
2016-09-02,16.75
2016-09-24,15.7
2016-10-08,9.8
2016-10-15,14.35
2016-10-22,7.3
2016-10-29,16.6
2016-11-12,2.95
2016-11-19,4.75
2017-09-02,15.8
2017-09-09,11.3
2017-09-23,25.5
2017-09-30,10.9
2017-10-21,18.2
2017-11-04,5.0
2017-11-18,3.7
2018-08-31,20.35
2018-09-29,9.35
2018-10-06,18.4
2018-10-20,6.8
2018-10-27,5.6
2018-11-10,-2.45
2018-11-24,6.95
2019-08-30,19.15
2019-09-07,18.6
2019-09-14,18.4
2019-09-28,15.35
2019-10-26,5.1
2019-11-09,1.45
2019-11-30,0.8
2020-10-24,3.7
2020-11-07,16.15
2020-11-14,0.65
2020-11-28,2.35
2021-09-11,21.6
2021-09-18,20.35
2021-09-25,14.4
2021-10-02,19.25
2021-10-30,10.45
2021-11-13,3.35
2021-11-27,-2.75
2022-09-02,23.7
2022-09-10,23.8
2022-09-24,13.8
2022-10-01,13.6
2022-10-08,6.0
2022-10-15,7.45
2022-11-12,2.55
2022-11-19,-5.55
2023-09-01,17.8
2023-09-09,15.7
2023-09-16,15.95
2023-09-23,16.9
2023-10-21,5.75
2023-11-04,8.85
2023-11-24,-3.4
